YEAR,ANNUAL,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
1998-03-15,24.76,19.72,26.41,27.69,22.42
1999-03-15,24.67,19.75,26.66,27.38,22.29
2000-03-15,24.6,19.33,26.47,27.23,22.68
2001-03-15,24.73,19.75,26.82,27.47,22.52
2002-03-15,25,19.65,27.22,27.71,22.58
2003-03-15,24.72,19.82,26.52,27.64,22.23
2004-03-15,24.74,19.93,27.06,27.33,22.24
2005-03-15,24.58,19.79,26.33,27.64,21.93
2006-03-15,25.06,21.33,26.52,27.4,22.66
2007-03-15,24.77,20.1,26.69,27.49,22.32
2008-03-15,24.61,19.16,26.46,27.26,22.87
2009-03-15,25.11,20.72,26.86,27.89,22.58
2010-03-15,25.13,20.19,27.83,27.5,22.6
2011-03-15,24.67,19.54,26.38,27.54,22.71
2012-03-15,24.69,19.34,26.55,27.71,22.35
2013-03-15,24.82,19.98,26.85,27.46,22.5
2014-03-15,24.73,19.58,26.24,27.88,22.47
2015-03-15,24.91,20.12,26.29,27.73,22.99
2016-03-15,26.45,22.25,28.86,28.44,24.2
2017-03-15,26.29,21.84,28.41,28.5,24.21
2018-03-15,25.9,21.24,28.16,28.28,23.55
2019-03-15,25.86,20.71,28,28.6,23.49
